cap1,cap2,cap3,cap4,X,Y
0.46219,0.8801,0.95126,0.94063,1.9038,0.95039
0.46514,0.88237,0.95124,0.93975,1.849,1.0293
0.46751,0.88484,0.95111,0.93838,1.81,1.1055
0.46927,0.88688,0.95187,0.93708,1.7831,1.0836
0.47043,0.88749,0.95023,0.93657,1.7135,1.0936
0.47162,0.88635,0.94724,0.93661,1.6425,1.1592
0.4731,0.88425,0.94283,0.93685,1.5533,1.3175
0.47487,0.88272,0.93682,0.93628,1.5058,1.3691
0.47706,0.88344,0.93178,0.9344,1.4665,1.4454
0.47979,0.88743,0.92857,0.93169,1.4306,1.5189
0.48277,0.8948,0.92496,0.92814,1.3706,1.6029
0.48555,0.90307,0.92264,0.92424,1.3079,1.6691
0.48764,0.90996,0.92002,0.92048,1.2462,1.7091
0.48845,0.91338,0.91571,0.91741,1.1519,1.7491
0.48809,0.91342,0.90889,0.91552,1.0924,1.7881
0.48663,0.91124,0.90011,0.91418,1.0267,1.8705
0.48441,0.90874,0.89152,0.91337,0.98346,1.9514
0.48205,0.90752,0.88498,0.9121,0.94969,2.0206
0.47991,0.90766,0.88185,0.91044,0.91938,2.0718
0.47847,0.9087,0.88135,0.90837,0.85314,2.1177
0.47784,0.90994,0.88491,0.9062,0.76022,2.1565
0.47803,0.91075,0.89132,0.90472,0.68192,2.1833
0.47874,0.9111,0.89685,0.90491,0.62159,2.2077
0.47966,0.91171,0.9007,0.90649,0.57175,2.2391
0.48053,0.9131,0.90351,0.90766,0.51863,2.2937
0.48109,0.91529,0.9049,0.90348,0.49608,2.2978
0.48133,0.91847,0.90511,0.88755,0.48744,2.2664
0.48123,0.92182,0.90746,0.85358,0.52186,2.1701
0.48095,0.92312,0.91342,0.79559,0.55297,2.0932
0.48052,0.9242,0.92067,0.71891,0.5693,2.0225
0.48032,0.92666,0.92833,0.63289,0.56426,1.9185
0.48045,0.92809,0.93519,0.55424,0.54524,1.8523
0.48106,0.92872,0.93942,0.49883,0.52854,1.7825
0.48202,0.92997,0.94108,0.47631,0.50533,1.6867
0.48301,0.93145,0.94076,0.49403,0.51076,1.6082
0.48359,0.93182,0.93974,0.54293,0.52981,1.539
0.48356,0.93218,0.93894,0.61286,0.56217,1.4371
0.48287,0.93298,0.93894,0.69197,0.57176,1.3309
0.48188,0.93448,0.93955,0.76714,0.54286,1.2209
0.48086,0.9353,0.94044,0.8308,0.51371,1.1295
0.48005,0.9352,0.94132,0.87641,0.50569,1.0312
0.47945,0.93402,0.94227,0.90523,0.51574,0.94688
0.4791,0.93307,0.94347,0.92015,0.53022,0.89011
0.47883,0.9323,0.94448,0.92505,0.5636,0.80474
0.47848,0.93219,0.94581,0.92597,0.58592,0.74729
0.47798,0.93282,0.94702,0.92648,0.59864,0.70636
0.47448,0.93465,0.94056,0.9401,0.75188,0.78609
0.47475,0.93122,0.93724,0.93893,0.81673,0.87476
0.47499,0.92752,0.93479,0.93738,0.90709,0.94617
0.47524,0.92496,0.93347,0.93656,0.96729,0.99077
0.47564,0.92481,0.93294,0.93703,1.0401,1.0494
0.47649,0.92609,0.93207,0.93871,1.0908,1.118
0.4779,0.92761,0.93026,0.94111,1.139,1.2175
0.47928,0.92744,0.92688,0.94313,1.1746,1.2852
0.48051,0.92448,0.92192,0.94433,1.2427,1.3684
0.48122,0.91904,0.91582,0.94485,1.3244,1.429
0.48176,0.912,0.90857,0.94509,1.408,1.4783
0.48221,0.90478,0.90087,0.94507,1.5072,1.5406
0.48257,0.899,0.89333,0.94551,1.6181,1.6715
0.48286,0.89643,0.88673,0.94649,1.6683,1.7473
0.48275,0.89611,0.88089,0.94819,1.703,1.808
0.48252,0.89699,0.87587,0.94997,1.7381,1.8518
0.48193,0.89792,0.87144,0.95144,1.7772,1.8788
0.48124,0.89706,0.86731,0.95253,1.8251,1.9146
0.48061,0.89387,0.86349,0.95292,1.8692,1.9468
0.48004,0.88723,0.86045,0.95269,1.9375,1.9986
0.47951,0.87767,0.85858,0.95207,1.9806,2.0499
0.479,0.86972,0.85909,0.95132,2.0026,2.1027
0.4784,0.86442,0.86244,0.95071,2.0423,2.1769
0.47789,0.86047,0.86887,0.95035,2.0787,2.2067
0.47763,0.85628,0.87799,0.95034,2.1322,2.2065
0.47748,0.85098,0.88809,0.95053,2.1766,2.1547
0.47767,0.83948,0.89779,0.95022,2.2022,2.1106
0.47791,0.81908,0.90607,0.94968,2.2201,2.0748
0.47792,0.78808,0.91226,0.94918,2.2411,2.0538
0.4779,0.74869,0.9166,0.94889,2.2852,2.0301
0.47793,0.70262,0.91939,0.94867,2.3342,1.9946
0.47809,0.64751,0.92108,0.94964,2.3961,1.9238
0.47852,0.57833,0.92233,0.94976,2.4069,1.873
0.47925,0.48836,0.92374,0.94905,2.3726,1.8074
0.48002,0.37075,0.92567,0.94816,2.3322,1.7535
0.48052,0.23781,0.92791,0.94756,2.2846,1.6813
0.48057,0.11142,0.92997,0.94763,2.2783,1.6106
0.48008,0.028913,0.93109,0.94847,2.303,1.5388
0.47928,0.01528,0.93098,0.94953,2.3386,1.4521
0.47841,0.077166,0.92983,0.9511,2.3604,1.3956
0.47771,0.20624,0.92821,0.95228,2.3623,1.3372
0.47719,0.36264,0.92699,0.95307,2.3381,1.2928
0.47672,0.51454,0.92667,0.95363,2.2951,1.2314
0.47607,0.6342,0.92751,0.95413,2.2683,1.1682
0.47506,0.71737,0.92919,0.95449,2.2685,1.1312
0.47354,0.77038,0.93132,0.95448,2.2931,1.016
0.47167,0.80284,0.93335,0.95382,2.3256,0.94874
0.4696,0.82665,0.93483,0.95265,2.3565,0.88388
0.46724,0.84567,0.93558,0.95128,2.3746,0.8051
0.4643,0.86045,0.93581,0.95008,2.3534,0.73347
0.46041,0.87113,0.93624,0.9492,2.3328,0.67369
0.45507,0.87801,0.93746,0.94846,2.2995,0.61327
0.44758,0.88049,0.93982,0.94755,2.2728,0.58688
0.43787,0.88063,0.94263,0.94635,2.2293,0.56219
0.42572,0.87967,0.94486,0.94506,2.1671,0.50665
0.4096,0.87942,0.94574,0.94415,2.1065,0.45308
0.38684,0.88005,0.94408,0.94401,2.0369,0.45266
0.35375,0.88169,0.94046,0.94474,1.9518,0.48562
0.30586,0.88408,0.93652,0.94615,1.8906,0.5162
0.24594,0.8854,0.93418,0.94767,1.8071,0.54965
0.18144,0.88622,0.93332,0.94878,1.7091,0.5689
0.12719,0.88731,0.93355,0.949,1.6556,0.5612
0.096977,0.89014,0.93409,0.94819,1.5881,0.54414
0.098323,0.895,0.93489,0.94645,1.4904,0.51788
0.13342,0.90173,0.93569,0.94406,1.4441,0.51497
